Origin Node,Origin Name,Destination Node,Destination Name,Critical Volume,Max PoA,Road Name,Closed Edge From,Closed Edge To,Closure Type,Baseline TSTT (hrs),New TSTT (hrs),Time Saved (mins)
villa - 1,Osmena St - Jocson St,jaro - 9,Iloilo-Capiz Rd - Balabago Rd,4500,1.1049,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,Unidirectional,2292.48,2277.45,901.68
villa - 1,Osmena St - Jocson St,jaro - 9,Iloilo-Capiz Rd - Balabago Rd,4500,1.1049,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,Bidirectional,2292.48,2277.45,901.68
villa - 1,Osmena St - Jocson St,jaro - 12,Buhang Flyover,2500,1.0511,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,Unidirectional,769.98,769.82,9.39
villa - 1,Osmena St - Jocson St,jaro - 12,Buhang Flyover,2500,1.0511,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,Bidirectional,769.98,769.82,9.39
villa - 1,Osmena St - Jocson St,jaro - 13,Buhang Flyover,3000,1.0579,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,Unidirectional,1022.18,1014.17,480.55
villa - 1,Osmena St - Jocson St,jaro - 13,Buhang Flyover,3000,1.0579,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,Bidirectional,1022.18,1014.17,480.55
villa - 1,Osmena St - Jocson St,jaro - 14,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1,3000,1.0624,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,Unidirectional,1000.7,994.7,360.11
villa - 1,Osmena St - Jocson St,jaro - 14,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1,3000,1.0624,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,Bidirectional,1000.7,994.7,360.11
villa - 1,Osmena St - Jocson St,jaro - 15,Iloilo Circumferential Rd 1 - Iloilo Radial By-Pass Rd 4,3000,1.0539,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,Unidirectional,1093.77,1085.23,512.56
villa - 1,Osmena St - Jocson St,jaro - 15,Iloilo Circumferential Rd 1 - Iloilo Radial By-Pass Rd 4,3000,1.0539,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,Bidirectional,1093.77,1085.23,512.56
villa - 3,Jocson St - Quezon St,jaro - 12,Buhang Flyover,2500,1.055,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,Unidirectional,691.35,690.41,56.86
