Road Name,From Node,To Node,Closure Type,Baseline Flow,Status,Baseline TSTT (Hours),New TSTT (Hours),Change (Minutes),Braess Link?
Osmena St,villa - 1,villa - 6,Two-Way,439.17,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 878 vol,N/A
Yulo Dr,villa - 1,villa - 4,Two-Way,0.64,Inactive,3585.28,3608.02,1364.31,No
Jocson St,villa - 1,villa - 2,Two-Way,659.4,Active,3585.28,3611.73,1587.04,No
Circumferential Rd 1,villa - 2,villa - 3,Two-Way,1506.76,Active,3585.28,3666.1,4849.36,No
Iloilo Circumferential Rd 1,villa - 2,mandurriao - 8,Two-Way,634.2,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 1268 vol,N/A
Quezon St,villa - 3,villa - 4,Two-Way,218.94,Active,3585.28,3612.35,1624.23,No
Molo - Arevalo Connect (Rev),villa - 3,Molo - 3,Two-Way,1944.0,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 3888 vol,N/A
Molo Blvd (Rev),villa - 5,Molo - 6,Two-Way,219.59,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 439 vol,N/A
Pakiad Rd (Rev),villa - 6,villa - 7,Two-Way,219.59,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 439 vol,N/A
Locsin St,Molo - 3,Molo - 4,Two-Way,2664.99,Active,3585.28,4284.62,41960.61,No
New Carpenter Bridge,Molo - 3,mandurriao - 6,Two-Way,1697.48,Active,3585.28,3824.35,14344.24,No
Locsin St,Molo - 4,Molo - 5,Two-Way,1440.18,Active,3585.28,3682.34,5823.49,No
M.H Del Pilar,Molo - 4,Molo - 9,Two-Way,1331.94,Active,3585.28,3639.77,3269.1,No
Locsin St,Molo - 5,Molo - 6,Two-Way,1236.86,Active,3585.28,3626.53,2474.9,No
Timawa St,Molo - 5,Proper - 2,Two-Way,192.93,Active,3585.28,3612.34,1623.41,No
Molo Blvd 2,Molo - 6,Proper - 4,Two-Way,1397.93,Active,3585.28,3631.4,2767.11,No
Rotunda,Molo - 7,Molo - 8,One-Way,1734.32,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 289 vol,N/A
San Marcos St,Molo - 8,Molo - 3,One-Way,1341.57,Active,3585.28,3619.5,2053.03,No
M.H Del Pilar,Molo - 8,Molo - 9,One-Way,392.74,Active,3585.28,3624.46,2350.94,No
M.H Del Pilar,Molo - 9,Molo - 10,One-Way,1661.75,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 145 vol,N/A
Molo - Proper Connect,Molo - 10,Proper - 1,One-Way,1422.81,Active,3585.28,3644.14,3531.64,No
M.H Del Pilar,Molo - 10,Molo - 7,One-Way,238.93,Active,3585.28,3613.17,1673.54,No
Gen Luna - Molo Connect,Proper - 1,Molo - 7,One-Way,1495.38,Active,3585.28,3657.06,4306.57,No
Infante St 1,Proper - 1,Proper - 2,Two-Way,1202.98,Active,3585.28,3655.03,4184.98,No
Gen Luna St 1,Proper - 1,Proper - 7,Two-Way,1048.37,Active,3585.28,3647.97,3761.53,No
Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,Two-Way,1327.03,Active,3585.28,3824.31,14341.83,No
Infante St 2,Proper - 2,Proper - 3,Two-Way,460.33,Active,3585.28,3634.88,2975.8,No
Delgado St,Proper - 2,Proper - 10,Two-Way,857.69,Active,3585.28,3635.63,3020.68,No
Infante St 3,Proper - 3,Proper - 4,One-Way,820.94,Active,3585.28,3627.21,2516.07,No
Baluarte - Oton Blvd,Proper - 4,Proper - 5,One-Way,1670.69,Active,3585.28,3667.28,4920.04,No
Rizal St 1,Proper - 5,Proper - 3,One-Way,1371.54,Active,3585.28,3654.79,4170.87,No
Rizal St 2,Proper - 5,Proper - 6,Two-Way,1749.51,Active,3585.28,3714.45,7750.22,No
Rizal St 3,Proper - 6,Proper - 14,Two-Way,954.07,Active,3585.28,3662.99,4662.7,No
Ledesma St,Proper - 6,Proper - 11,Two-Way,971.56,Active,3585.28,3610.12,1490.48,No
Gen Luna St 2,Proper - 7,Proper - 8,Two-Way,1662.94,Active,3585.28,3669.09,5028.28,No
