Road Name,From Node,To Node,Baseline Flow,Status,Baseline TSTT (Hours),New TSTT (Hours),Change (Minutes),Braess Link?
Osmena St,villa - 1,villa - 6,439.17,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 439 vol,N/A
Yulo Dr,villa - 1,villa - 4,0.64,Inactive,3585.28,3608.0,1363.2,No
Jocson St,villa - 1,villa - 2,659.4,Active,3585.28,3609.86,1474.93,No
Jocson St (Rev),villa - 2,villa - 1,659.4,Active,3585.28,3609.86,1474.93,No
Circumferential Rd 1,villa - 2,villa - 3,1506.76,Active,3585.28,3637.62,3140.58,No
Iloilo Circumferential Rd 1,villa - 2,mandurriao - 8,634.2,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 634 vol,N/A
Quezon St,villa - 3,villa - 4,218.94,Active,3585.28,3610.17,1493.16,No
Circumferential Rd 1 (Rev),villa - 3,villa - 2,1506.76,Active,3585.28,3637.62,3140.58,No
Molo - Arevalo Connect (Rev),villa - 3,Molo - 3,1944.0,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 1944 vol,N/A
Yulo Dr (Rev),villa - 4,villa - 1,0.64,Inactive,3585.28,3608.0,1363.2,No
Quezon St (Rev),villa - 4,villa - 3,218.94,Active,3585.28,3610.17,1493.16,No
Molo Blvd (Rev),villa - 5,Molo - 6,219.59,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 220 vol,N/A
Osmena St (Rev),villa - 6,villa - 1,439.17,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 439 vol,N/A
Pakiad Rd (Rev),villa - 6,villa - 7,219.59,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 220 vol,N/A
Pakiad Rd,villa - 7,villa - 6,219.59,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 220 vol,N/A
Molo - Arevalo Connect,Molo - 3,villa - 3,1944.0,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 1944 vol,N/A
Locsin St,Molo - 3,Molo - 4,2664.99,Active,3585.28,4278.34,41583.57,No
New Carpenter Bridge,Molo - 3,mandurriao - 6,1697.48,Active,3585.28,3739.55,9256.16,No
Locsin St (Rev),Molo - 4,Molo - 3,1435.59,Active,3585.28,3623.67,2303.66,No
Locsin St,Molo - 4,Molo - 5,1440.18,Active,3585.28,3666.02,4844.54,No
M.H Del Pilar,Molo - 4,Molo - 9,1331.94,Active,3585.28,3638.92,3218.09,No
Locsin St (Rev),Molo - 5,Molo - 4,1479.78,Active,3585.28,3626.2,2455.07,No
Locsin St,Molo - 5,Molo - 6,1236.86,Active,3585.28,3621.13,2151.14,No
Timawa St,Molo - 5,Proper - 2,192.93,Active,3585.28,3610.16,1492.84,No
Locsin St (Rev),Molo - 6,Molo - 5,387.11,Active,3585.28,3613.79,1710.66,No
Molo Blvd,Molo - 6,villa - 5,219.59,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 220 vol,N/A
Molo Blvd 2,Molo - 6,Proper - 4,1397.93,Active,3585.28,3624.57,2357.52,No
Rotunda,Molo - 7,Molo - 8,1734.32,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 289 vol,N/A
San Marcos St,Molo - 8,Molo - 3,1341.57,Active,3585.28,3619.5,2053.03,No
M.H Del Pilar,Molo - 8,Molo - 9,392.74,Active,3585.28,3624.46,2350.94,No
M.H Del Pilar (Rev),Molo - 9,Molo - 4,62.93,Active,3585.28,3609.07,1427.14,No
M.H Del Pilar,Molo - 9,Molo - 10,1661.75,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 145 vol,N/A
Molo - Proper Connect,Molo - 10,Proper - 1,1422.81,Active,3585.28,3644.14,3531.64,No
M.H Del Pilar,Molo - 10,Molo - 7,238.93,Active,3585.28,3613.17,1673.54,No
Gen Luna - Molo Connect,Proper - 1,Molo - 7,1495.38,Active,3585.28,3657.06,4306.57,No
Infante St 1,Proper - 1,Proper - 2,1202.98,Active,3585.28,3628.78,2609.98,No
Gen Luna St 1,Proper - 1,Proper - 7,1048.37,Active,3585.28,3625.82,2432.58,No
Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,1327.03,Active,3585.28,3729.99,8682.59,No
Timawa St (Rev),Proper - 2,Molo - 5,1082.28,Active,3585.28,3610.26,1498.83,No
Infante St 1 (Rev),Proper - 2,Proper - 1,993.95,Active,3585.28,3634.6,2959.42,No
Infante St 2,Proper - 2,Proper - 3,460.33,Active,3585.28,3620.34,2103.66,No
Delgado St,Proper - 2,Proper - 10,857.69,Active,3585.28,3617.33,1922.8,No
Infante St 2 (Rev),Proper - 3,Proper - 2,1010.93,Active,3585.28,3623.44,2289.33,No
Infante St 3,Proper - 3,Proper - 4,820.94,Active,3585.28,3627.21,2516.07,No
Molo Blvd 2 (Rev),Proper - 4,Molo - 6,548.17,Active,3585.28,3615.32,1802.19,No
Baluarte - Oton Blvd,Proper - 4,Proper - 5,1670.69,Active,3585.28,3667.28,4920.04,No
